,keywords
ALNY,alnylam pharmaceuticals inc biopharmaceutical company focuses discovering developing commercializing novel therapeutics based ribonucleic acid interference marketed products include onpattro patisiran treatment polyneuropathy hereditary transthyretinmediated amyloidosis adults amvuttra treatment hattr amyloidosis polyneuropathy adults givlaari treatment adults acute hepatic porphyria oxlumo treatment primary hyperoxaluria type 1 addition company develops patisiran treatment transthyretin amyloidosis attr amyloidosis cardiomyopathy cemdisiran treat complementmediated diseases belcesiran treatment alpha1 liver disease elebsiran treat chronic hbv infection zilebesiran treat hypertension alnapp treat alzheimers disease cerebral amyloid angiopathy alnhsd treat nash offers fitusiran treatment hemophilia inclisiran treat hypercholesterolemia lumasiran treatment advanced ph1 vutrisiran treatment attr amyloidosis phase 3 clinical trial alnylam pharmaceuticals inc strategic collaborations regeneron pharmaceuticals inc discover develop commercialize rnai therapeutics range diseases addressing therapeutic targets expressed eye cns roche develop pharmaceutical products containing zilebesiran also license collaboration agreements novartis ag vir biotechnology inc dicerna pharmaceuticals inc ionis pharmaceuticals inc peptidream inc company founded 2002 headquartered cambridge massachusetts
DXCM,dexcom inc medical device company focuses design development commercialization continuous glucose monitoring cgm systems united states internationally company provides systems use people diabetes well use healthcare providers products include dexcom g6 dexcom g7 integrated cgm systems diabetes management dexcom share remote monitoring system dexcom realtime api enables authorized thirdparty software developers integrate realtime cgm data digital health apps devices dexcom one designed replace finger stick blood glucose testing diabetes treatment decisions also submitted fda review dexcom stelo people type 2 diabetes company collaboration license agreement verily life sciences llc verily ireland limited develop bloodbased interstitial glucose monitoring products markets products directly endocrinologists physicians diabetes educators company incorporated 1999 headquartered san diego california
CNC,centene corporation operates healthcare enterprise provides programs services underinsured uninsured families commercial organizations military families united states company operates medicaid medicare commercial segments medicaid segment offers health plan coverage including medicaid expansion aged blind disabled childrens health insurance program foster care medicaremedicaid plans longterm services support segment also provides healthcare products medicare segment offers special needs medicare supplement prescription drug plans commercial segment provides health insurance marketplace product individual small large group commercials also operates clinical healthcare pharmacies well offers dental speech therapy services addition company engages government contracts business tricare program healthcare related government contracts provides services primary specialty care physicians hospitals ancillary providers centene corporation founded 1984 headquartered saint louis missouri
CAH,cardinal health inc operates healthcare services products company united states canada europe asia internationally provides customized solutions hospitals healthcare systems pharmacies ambulatory surgery centers clinical laboratories physician offices patients home company operates two segments pharmaceutical specialty solutions global medical products distribution distributes branded generic pharmaceutical specialty pharmaceutical overthecounter healthcare consumer products well medical supplies company also provides services pharmaceutical manufacturers healthcare providers specialty pharmaceutical products offers pharmacy management services hospitals operates pharmacies including pharmacies community health centers repackages generic pharmaceuticals overthecounter healthcare products addition manufactures sources distributes cardinal health branded medical surgical laboratory products devices include exam surgical gloves needles syringe sharps disposals compression solution incontinence nutritional delivery wound care products singleuse surgical drapes gowns apparel products fluid suction collection systems urology products operating room supply products electrode product lines company distributes range national brand products including medical surgical laboratory products provides supply chain services solutions hospitals ambulatory surgery centers clinical laboratories healthcare providers assembles sells sterile nonsterile procedure kits additionally manufactures prepares delivers distributes radiopharmaceuticals related treatments optimizes direct shipments integrated technology solutions company incorporated 1979 headquartered dublin ohio
BIIB,biogen inc discovers develops manufactures delivers therapies treating neurological neurodegenerative diseases united states europe germany asia internationally company provides tecfidera vumerity avonex plegridy tysabri fampyra multiple sclerosis ms spinraza spinal muscular atrophy aduhelm treat alzheimers disease fumaderm treat plaque psoriasis benepali etanercept biosimilar referencing enbrel imraldi adalimumab biosimilar referencing humira flixabi infliximab biosimilar referencing remicade byooviz ranibizumab biosimilar referencing lucentis offers rituxan treating nonhodgkins lymphoma chronic lymphocytic leukemia cll rheumatoid arthritis two forms ancaassociated vasculitis pemphigus vulgaris rituxan hycela nonhodgkins lymphoma cll gazyva treat cll follicular lymphoma ocrevus relapsing ms primary progressive ms lunsumio treat relapsed refractory follicular lymphoma glofitamab nonhodgkins lymphoma anticd20 therapies addition company developing various products treatment ms alzheimers disease dementia neuromuscular disorders parkinsons disease movement disorders neuropsychiatry genetic neurodevelopmental disorders biosimilars various stages development collaboration license agreements acorda therapeutics inc alkermes pharma ireland limited denali therapeutics inc eisai co ltd genentech inc neurimmune subone ag ionis pharmaceuticals inc samsung bioepis co ltd sangamo therapeutics inc sage therapeutics inc well collaboration fujirebio potentially identify develop bloodbased biomarkers tau pathology brain company founded 1978 headquartered cambridge massachusetts
WST,west pharmaceutical services inc designs manufactures sells containment delivery systems injectable drugs healthcare products americas europe middle east africa asia pacific operates two segments proprietary products contractmanufactured products proprietary products segment offers stoppers seals injectable packaging systems syringe cartridge components including custom solutions needs injectable drug applications well administration systems enhance safe delivery drugs advanced reconstitution mixing transfer technologies films coatings washing vision inspection sterilization processes services enhance quality packaging components segment also provides drug containment solutions including crystal zenith cyclic olefin polymer form vials syringes cartridges selfinjection devices range integrated solutions including analytical lab services preapproval primary packaging support engineering development regulatory expertise aftersales technical support segment serves biologic generic pharmaceutical drug companies contractmanufactured products segment involved design manufacture automated assembly devices used surgical diagnostic ophthalmic injectable drug delivery systems well consumer products company serves pharmaceutical diagnostic medical device companies sells distributes products sales force distribution network contract sales agents regional distributors west pharmaceutical services inc founded 1923 headquartered exton pennsylvania
WAT,waters corporation provides analytical workflow solutions asia americas europe operates two segments waters ta company designs manufactures sells services high ultraperformance liquid chromatography well mass spectrometry ms technology systems support products including chromatography columns consumable products postwarranty service plans also designs manufactures sells services thermal analysis rheometry calorimetry instruments develops supplies softwarebased products interface instruments well manufacturers instruments addition company offers ms technology instruments used drug discovery development comprising clinical trial testing analysis proteins disease processes nutritional safety analysis environmental testing company provides thermal analysis rheometry calorimetry instruments use predicting suitability stability fine chemicals pharmaceuticals water polymers metals viscous liquids various industrial consumer good healthcare products well life science research products used clinical pharmaceutical biochemical industrial nutritional safety environmental academic governmental customers working research development quality assurance laboratory applications company founded 1958 headquartered milford massachusetts
ZBH,zimmer biomet holdings inc together subsidiaries operates medical technology company worldwide company designs manufactures markets orthopedic reconstructive products knee hip products set products including sports medicine biologics foot ankle extremities trauma products craniomaxillofacial thoracic products comprising face skull reconstruction products well products fixate stabilize bones chest facilitate healing reconstruction open heart surgery trauma deformities chest also offers robotic surgical bone cement products companys products solutions used treat patients suffering disorders injuries bones joints supporting soft tissues serves orthopedic surgeons neurosurgeons hospitals stocking distributors healthcare dealers specialists well agents healthcare purchasing organizations buying groups company formerly known zimmer holdings inc changed name zimmer biomet holdings inc june 2015 zimmer biomet holdings inc founded 1927 headquartered warsaw indiana
ILMN,illumina inc offers sequencing arraybased solutions genetic genomic analysis united states singapore united kingdom internationally operates core illumina grail segments company offers sequencing arraybased instruments consumables include reagents flow cells library preparation wholegenome sequencing kits sequence entire genomes various size complexity targeted resequencing kits sequence exomes specific genes rna genomic regions interest also provides wholegenome sequencing genotyping noninvasive prenatal testing product support services galleri multicancer early detection test addition company developing solutions help accelerate cancer diagnoses bloodbased detection minimal residual disease postdiagnostic applications company serves genomic research centers academic institutions government laboratories hospitals well pharmaceutical biotechnology commercial molecular diagnostic laboratories consumer genomics companies markets distributes products directly customers well lifescience distributors illumina inc incorporated 1998 based san diego california
STE,steris plc provides infection prevention products services worldwide operates three segments healthcare applied sterilization technologies ast life sciences healthcare segment offers cleaning chemistries sterility assurance products automated endoscope reprocessing system tracking products endoscopy accessories washers sterilizers pieces capital equipment operation sterile processing department equipment used directly surgical tables lights connectivity solutions well equipment management services also provides capital equipment installation maintenance upgradation repair troubleshooting services preventive maintenance programs repair services instrument devices endoscope repair maintenance services custom process improvement consulting outsourced instrument sterile processing services ast segment provides contract sterilization testing services medical device pharmaceutical manufacturers network contract sterilization laboratory facilities well integrated sterilization equipment control systems medical device manufacturers research institutions life sciences segment designs manufactures sells consumable products pharmaceutical detergents cleanroom disinfectants sterilants pharmaceutical grade research sterilizers washers sterility assurance maintenance products vaporized hydrogen peroxide room decontamination systems sterilizers high purity water pure steam generators segment also offers equipment installation maintenance upgradation repair troubleshooting services preventive maintenance programs repair services serves products services hospitals healthcare providers pharmaceutical manufacturers company founded 1985 headquartered mentor ohio
COO,cooper companies inc together subsidiaries develops manufactures markets contact lens wearers company operates two segments coopervision coopersurgical coopervision segment provides spherical lense including lenses correct near farsightedness toric multifocal lenses comprising lenses correcting vision challenges astigmatism presbyopia myopia americas europe middle east africa asia pacific coopersurgical segment focuses family womens health care provides fertility products services medical devices contraception well cryostorage cord blood cord tissue storage health care professionals patients worldwide offers surgical office products including endosee endometrial imaging products fetal pillow cephalic elevation devices use cesarean sections illuminated speculum products lone star retractor systems loop electrosurgical excision procedure products mara water ablation systems paragard contraceptive iuds pointofcare uterine positioning products well cryostorage cord blood cord tissue storage fertility products services fertility consumables equipment donor gamete services genomic services including genetic testing company sells products distributors group purchasing organizations eye care health care professionals including independent practices corporate retailers hospitals clinics authorized resellers cooper companies inc founded 1958 headquartered san ramon california
LH,labcorp holdings inc provides laboratory services operates two segments diagnostics laboratories biopharma laboratory services company offers various tests blood chemistry analyses urinalyses blood cell counts thyroid pap hemoglobin a1c vitamin prostatespecific antigens sexually transmitted diseases hepatitis c microbiology cultures procedures alcohol substanceabuse tests also provides specialty testing services comprising genebased esoteric testing advanced tests target specific diseases services related anatomic pathologyoncology cardiovascular disease coagulation diagnostic genetics endocrinology infectious disease womens health pharmacogenetics parentage donor testing occupational testing services medical drug monitoring services chronic disease programs kidney stone prevention tests health wellness services employers managed care organizations mcos addition company offers online mobile applications enable patients check test results online applications providers mcos accountable care organizations specimen collection services drug development medical device companion diagnostic development solutions well support crop protection chemical testing serves pharmaceutical biotechnology medical device diagnostics companies mcos employer plans health insurance providers governmental agencies physicians healthcare providers hospitals health systems employers patients consumers contract research organizations crop protection chemical companies academic institutions independent clinical laboratories retailers company founded 1995 headquartered burlington north carolina
PODD,insulet corporation develops manufactures sells insulin delivery systems people insulindependent diabetes companys omnipod platform includes omnipod 5 automated insulin delivery system omnipod 5 includes proprietary aid algorithm embedded pod integrates thirdparty continuous glucose monitor obtain glucose values wireless bluetooth communication omnipod dash features bluetooth enabled pod controlled smartphonelike personal diabetes manager color touch screen user interface omnipod go standalone wearable insulin delivery system provides fixed rate continuous rapidacting insulin 72 hours company sells products primarily independent distributors pharmacy channels well directly united states canada europe middle east australia internationally insulet corporation incorporated 2000 headquartered acton massachusetts
DGX,quest diagnostics incorporated provides diagnostic testing services united states internationally company develops delivers diagnostic information services routine nonroutine advanced clinical testing anatomic pathology testing diagnostic information services offers diagnostic information services primarily quest diagnostics brand well ameripath dermpath diagnostics examone quanum brands physicians hospitals patients consumers health plans government agencies employers retailers pharmaceutical companies insurers accountable care organizations network laboratories patient service centers phlebotomists physician offices call centers mobile phlebotomists nurses health wellness professionals company also provides risk assessment services life insurance industry healthcare organizations clinicians information technology solutions quest diagnostics incorporated founded 1967 headquartered secaucus new jersey
MOH,molina healthcare inc provides managed healthcare services lowincome families individuals medicaid medicare programs state insurance marketplaces operates four segments medicaid medicare marketplace company served across 19 states company founded 1980 headquartered long beach california
HOLX,hologic inc engages development manufacture supply diagnostics products medical imaging systems surgical products womens health early detection treatment worldwide company operates four segments diagnostics breast health gyn surgical skeletal health provides aptima molecular diagnostic assays detect infectious microorganisms aptima viral load assays hepatitis b virus hepatitis c virus human immunodeficiency virus human cytomegalo virus aptima bacterial vaginosis candida vaginitis assays diagnosis vaginitis aptima sarscov2 panther fusion sarscov2 assays detect sarscov2 thinprep system cytology applications rapid fetal fibronectin test assists physicians assessing risk preterm birth company also offers breast cancer care solutions areas radiology breast surgery pathology treatment 3d digital mammography systems image analytics software reading workstations minimally invasive breast biopsy guidance systems breast biopsy site markers localization specimen radiology solutions breast conserving surgery products addition provides myosure hysteroscopic tissue removal system removal fibroids polyps uterus novasure endometrial ablation system treat abnormal uterine bleeding fluent fluid management system provides liquid distention diagnostic operative hysteroscopic procedures acessa provu system treat various fibroids coolseal portfolio bipolar vessel sealing devices offers horizon dxa dual energy xray system fluoroscan insight fd mini carm perform minimally invasive orthopedic surgical procedures sells products direct sales service forces independent distributors sales representatives company incorporated 1985 headquartered marlborough massachusetts
ALGN,align technology inc designs manufactures markets invisalign clear aligners itero intraoral scanners services orthodontists general practitioner dentists united states switzerland internationally companys clear aligner segment offers comprehensive products including invisalign comprehensive package addresses orthodontic needs younger patients mandibular advancement compliance indicators compensation tooth eruption invisalign first phase invisalign first comprehensive phase 2 package younger patients generally ages six ten years mixture primarybaby permanent teeth segment also provides invisalign moderate lite express packages invisalign go invisalign go plus retention products invisalign training adjusting tools used dental professionals course treatment invisalign palatal expander 3d printed orthodontic device 3d printing solutions imaging systems cadcam services segment offers itero intraoral scanning system single hardware platform restorative orthodontic procedures restorative software general practitioner dentists prosthodontists periodontists oral surgeons orthodontists software digital records storage orthodontic diagnosis fabrication printed models retainers segment also provides invisalign outcome simulator chairside cloudbased application itero scanner invisalign progress assessment tool align oral health suite digital interface designed enhance dental consultations timelapse technology allows doctors practitioners compare patients historic 3d scans presentday scan well subscription software disposables rentals leases pay per scan cadcam software solutions company incorporated 1997 headquartered tempe arizona
UTHR,united therapeutics corporation biotechnology company engages development commercialization products address unmet medical needs patients chronic lifethreatening diseases united states internationally company offers tyvaso dpi inhaled dry powder via prefilled singleuse cartridges tyvaso inhaled solution via ultrasonic nebulizer remodulin treprostinil injection treat patients pulmonary arterial hypertension pah diminish symptoms associated exercise orenitram tablet dosage form treprostinil delay disease progression improve exercise capacity pah patients adcirca oral pde5 inhibitor enhance exercise ability pah patients also markets sells unituxin dinutuximab injection monoclonal antibody treating highrisk neuroblastoma remunity pump contains pump separate controller remodulin addition company engages developing remopro ralinepag treatment pah auroragt gene therapy product rebuild blood vessels lungs nebulized tyvaso treatment idiopathic pulmonary fibrosis well xenografts developmentstage organ products licensing collaboration agreements deka research development corp develop semidisposable system subcutaneous delivery treprostinil mannkind corporation develop license treprostinil inhalation powder dreamboat device arena pharmaceuticals inc develop ralinepag company incorporated 1996 headquartered silver spring maryland
BAX,baxter international inc subsidiaries develops provides portfolio healthcare products worldwide company operates four segments medical products therapies healthcare systems technologies pharmaceuticals kidney care company offers sterile intravenous iv solutions infusion systems devices parenteral nutrition therapies generic injectable pharmaceuticals surgical hemostat sealant products advanced surgical equipment smart bed systems patient monitoring diagnostic technologies respiratory health devices well advanced equipment surgical space including surgical video technologies precision positioning devices accessories also provides administrative sets adhesion prevention products inhaled anesthesia drug compounding chronic acute dialysis therapies services including peritoneal dialysis pd hemodialysis hd continuous renal replacement therapies crrt organ support therapies companys products used hospitals kidney dialysis centers nursing homes rehabilitation centers ambulatory surgery centers doctors offices patients home physician supervision company sells products direct sales force well independent distributors drug wholesalers specialty pharmacy alternate site providers approximately 100 countries agreement celerity pharmaceutical llc develop acute care generic injectable premix oncolytic products collaborative research agreement miromatrix medical inc aiming advance care patients acute liver failure baxter international inc incorporated 1931 headquartered deerfield illinois
VTRS,viatris inc operates healthcare company worldwide company operates four segments developed markets greater china janz emerging markets offers prescription brand drugs generic drugs complex generic drugs biosimilars active pharmaceutical ingredients apis company offers drugs various therapeutic areas including noncommunicable infectious diseases biosimilars areas oncology immunology endocrinology ophthalmology dermatology apis antibacterial central nervous system agents antihistaminesantiasthmatics cardiovascular antivirals antidiabetics antifungals proton pump inhibitor areas well support services diagnostic clinics educational seminars digital tools help patients better manage health provides medicines form oral solid doses injectables complex dosage forms apis retail pharmacy establishments wholesalers distributors payers insurers governments institutions company distributes products pharmaceutical wholesalersdistributors pharmaceutical retailers institutional pharmacies mailorder ecommerce pharmacies specialty pharmacies sells products lyrica lipitor creon influvac wixela inhub epipen autoinjector fraxiparine yupelri norvasc viagra amitiza lipacreon effexor celebrex arv names well glargine semglee names company collaboration licensing agreements revance therapeutics inc momenta pharmaceuticals inc viatris inc founded 1961 headquartered canonsburg pennsylvania
RVTY,revvity inc provides health sciences solutions technologies services americas europe asia internationally life sciences segment provides instruments reagents informatics software subscriptions detection imaging technologies warranties training services diagnostics segment provides instruments reagents assay platforms software products early detection genetic disorders pregnancy early childhood well infectious disease testing diagnostics market products used testing screening genetic abnormalities disorders diseases including syndrome hypothyroidism muscular dystrophy infertility various metabolic conditions segment also develops technologies enable support genomic workflows using protein coupled receptor nextgeneration dna sequencing applications oncology immunodiagnostics drug discovery serves pharmaceutical biotechnology companies laboratories academic research institutions public health authorities private healthcare organizations doctors government agencies autodelfia bacsonbeads biochips bioo scientificbobs chemagic chitas delfia delfia xpress doplify eonis euroarray euroimmun eurolabworkstation euroline europattern evolution evoya explorer fontus genoglyphix gsp haoyuan ids idsi10 idsi10t idsisys ilab iq janus labchip lifecycle limslink migele multiprobe nextflex nextprep pannoramic panthera puncher pgseq pgfind pkamp prenat ii prime protein clear proteinexact qsigh quantivac ronia sciclone simplicitychrom specimen gatesuperflex symbio tspot touch twister vanadis varispec viacord victor 2d zephyr brand name company formerly known perkinelmer inc changed name revvity inc april 2023 revvity inc founded 1937 headquartered waltham massachusetts
THC,tenet healthcare corporation operates diversified healthcare services company united states company operates two segments hospital operations services ambulatory care general hospitals offer acute care services operating recovery rooms radiology respiratory therapy services clinical laboratories pharmacies company also provides intensive critical care andor coronary care units cardiovascular digestive disease neurosciences musculoskeletal obstetrics services outpatient services including physical therapy tertiary care services cardiothoracic surgery complex spinal surgery neonatal intensive care neurosurgery services quaternary care services heart kidney transplants limb salvaging vascular procedure acute level 1 trauma intravascular stroke care minimally invasive cardiac valve replacement imaging surgical robotic telemedicine access services addition offers range procedures services orthopedics total joint replacement spinal musculoskeletal procedures gastroenterology pain management otolaryngology ophthalmology urology operates hospitals ambulatory surgery centers imaging centers surgical hospitals offcampus emergency departments microhospitals tenet healthcare corporation founded 1967 headquartered dallas texas
NBIX,neurocrine biosciences inc discovers develops markets pharmaceuticals neurological neuroendocrine neuropsychiatric disorders united states internationally companys products include ingrezza tardive dyskinesia chorea associated huntingtons disease alkindi adrenal insufficiency efmody capsules classic congenital adrenal hyperplasia orilissa tablets endometriosis oriahnn capsules treat uterine fibroids product candidates clinical development include valbenazine treat dyskinetic cerebral palsy pediatrics adults nbi921352 treat developmental epileptic encephalopathy syndrome pediatrics adults nbi827104 treat epileptic encephalopathy continuous spikeandwave sleep nbi1076986 treat movement disorders crinecerfront treat congenital adrenal hyperplasia adults children efmody treat congenital adrenal hyperplasia adrenal insufficiency adults valbenazine adjunctive treatment schizophrenia nbi1065845 treatment inadequate response treatment major depressive disorder luvadaxistat treat cognitive impairment related schizophrenia nbi1117568 treatment schizophrenia nbi1070770 treat major depressive disorder nbi1117570 treatment symptoms psychosis cognition neurological neuropsychiatric conditions nbi1117569 nbi1117567 nbi1065890 treat cns indications company also license collaboration agreements heptares therapeutics limited takeda pharmaceutical company limited idorsia pharmaceuticals ltd xenon pharmaceuticals inc voyager therapeutics inc bial portela ca sa mitsubishi tanabe pharma corporation abbvie inc company incorporated 1992 headquartered san diego california
BMRN,biomarin pharmaceutical inc engages development commercialization therapies people serious lifethreatening rare diseases medical conditions commercial products include vimizim enzyme replacement therapy treatment mucopolysaccharidosis mps iv type lysosomal storage disorder naglazyme recombinant form nacetylgalactosamine 4sulfatase patients mps vi kuvan proprietary synthetic oral form 6rbh4 used treat patients phenylketonuria pku inherited metabolic disease companys commercial products also comprise palynziq pegylated recombinant phenylalanine ammonia lyase enzyme delivered subcutaneous injection reduce blood phe concentrations brineura recombinant human tripeptidyl peptidase 1 treatment patients ceroid lipofuscinosis type 2 form batten disease voxzogo daily injection analog ctype natriuretic peptide treatment achondroplasia aldurazyme purified protein designed identical naturally occurring form human enzyme alphaliduronidase addition develops roctavian adeno associated virus vector treatment patients severe hemophilia company serves specialty pharmacies hospitals nonus government agencies well distributors pharmaceutical wholesalers united states europe latin america internationally license collaboration agreements sarepta therapeutics ares trading sa catalyst pharmaceutical partners inc camp4 therapeutics corporation company incorporated 1996 headquartered san rafael california
INCY,incyte corporation biopharmaceutical company engages discovery development commercialization therapeutics hematologyoncology inflammation autoimmunity areas united states internationally company offers jakafi ruxolitinib treatment intermediate highrisk myelofibrosis polycythemia vera steroidrefractory acute graftversushost disease monjuvi tafasitamabcxixminjuvi tafasitamab relapsed refractory diffuse large bcell lymphoma pemazyre pemigatinib fibroblast growth factor receptor kinase inhibitor act oncogenic drivers liquid solid tumor types iclusig ponatinib treat chronic myeloid leukemia philadelphiachromosome positive acute lymphoblastic leukemia zynyz retifanlimabdlwr treat adults metastatic recurrent locally advanced merkel cell carcinoma well opzelura cream treatment atopic dermatitis clinical stage products include retifanlimab phase 3 clinical trials squamous cell carcinoma anal canal nonsmall cell lung cancer axatilimab anticsf1r monoclonal antibody phase 2 developed therapy patients chronic gvhd inca033989 inhibit oncogenesis incb160058 developed diseasemodifying therapeutic incb99280 incb99318 treatment solid tumors company also develops incb123667 inca32459 inca33890 well ruxolitinib cream povorcitinib inca034460 collaboration outlicense agreements novartis lilly inlicense agreements agenus merus macrogenics syndax collaboration license agreement china medical system holdings limited development commercialization povorcitinib company sells products specialty retail hospital pharmacies distributors wholesalers company formerly known incyte genomics inc changed name incyte corporation march 2003 incyte corporation incorporated 1991 headquartered wilmington delaware
SRPT,sarepta therapeutics inc commercialstage biopharmaceutical company focuses discovery development rnatargeted therapeutics gene therapies genetic therapeutic modalities treatment rare diseases offers exondys 51 injection treat duchenne muscular dystrophy duchenne patients confirmed mutation dystrophin gene amenable exon 51 skipping vyondys 53 treatment duchenne patients confirmed mutation dystrophin gene amenable exon 53 skipping amondys 45 treatment duchenne patients confirmed mutation dystrophin gene elevidys adenoassociated virus based gene therapy treatment ambulatory pediatric patients aged 4 5 years duchenne confirmed mutation duchenne gene company also developing srp5051 peptide conjugated pmo binds exon 51 dystrophin premrna srp9003 limbgirdle muscular dystrophies gene therapy program collaboration license agreements f hoffmanla roche ltd nationwide childrens hospital genevant sciences university florida dyno therapeutics hansa biopharma duke university genethon stridebio company incorporated 1980 headquartered cambridge massachusetts
TECH,biotechne corporation together subsidiaries develops manufactures sells life science reagents instruments services research diagnostics bioprocessing markets worldwide company operates two segments protein sciences diagnostics genomics protein sciences segment develops manufactures biological reagents used various aspects life science research diagnostics cell gene therapy cytokines growth factors antibodies small molecules tissue culture sera cell selection technologies segment also offers proteomic analytical tools automated western blot multiplexed elisa workflow consists manual automated protein analysis instruments immunoassays use quantifying proteins various biological fluids diagnostics genomics segment develops manufactures diagnostic products including controls calibrators diagnostic assays regulated diagnostics market exosomebased molecular diagnostic assays advanced tissuebased insitu hybridization assays spatial genomic tissue biopsy analysis genetic oncology kits research clinical applications sells products genetic carrier screening oncology diagnostics molecular controls research well instruments process control products hematology blood chemistry gases coagulation controls reagents used various diagnostic applications company strategic partnership alzpath inc accelerate breakthroughs neurodegenerative disease research treatment including alzheimers disease company formerly known techne corporation changed name biotechne corporation november 2014 biotechne corporation incorporated 1976 headquartered minneapolis minnesota
EXAS,exact sciences corporation provides cancer screening diagnostic test products united states internationally company offers cologuard noninvasive stoolbased dna screening test detect dna hemoglobin biomarkers associated colorectal cancer precancer also provides oncotype dx breast recurrence score test oncotype dx breast dcis score test oncotype dx colon recurrence score test oncoextra test tumor profiling patients advanced metastatic refractory relapsed recurrent cancer covid19 testing services companys pipeline products focus enhancing cologuard tests performance characteristics developing blood fluidbased tests license agreements mayo foundation medical education research johns hopkins university exact sciences corporation incorporated 1995 headquartered madison wisconsin
UHS,universal health services inc subsidiaries owns operates acute care hospitals outpatient behavioral health care facilities operates acute care hospital services behavioral health care services segments companys hospitals offer general specialty surgery internal medicine obstetrics emergency room care radiology oncology diagnostic coronary care pediatric services pharmacy services andor behavioral health services also provides commercial health insurance services various management services include central purchasing information finance control systems facilities planning physician recruitment administrative personnel management marketing public relations services universal health services inc founded 1978 headquartered king prussia pennsylvania
EXEL,exelixis inc oncology company focuses discovery development commercialization new medicines difficulttotreat cancers united states company offers cabometyx tablets treatment patients advanced renal cell carcinoma received prior antiangiogenic therapy cometriq capsules treatment progressive metastatic medullary thyroid cancer cabometyx cometriq derived cabozantinib inhibitor multiple tyrosine kinases including met axl ret vegf receptors company also offers cotellic inhibitor mek combination regimen treat specific forms advanced melanoma minnebro oral nonsteroidal selective blocker mineralocorticoid receptor treatment hypertension japan develops zanzalintinib novel potent nextgeneration oral tyrosine kinase inhibitor tki targets vegf receptors met tam kinases tyro3 axl mer xb002 nextgeneration tissue factor tftargeting adc administered via intravenous infusion composed human monoclonal antibody mab tf conjugated auristatinbased microtubulin inhibitor mti payload research collaborations license agreements ipsen pharma sas takeda pharmaceutical company ltd f hoffmannla roche ltd redwood bioscience inc rp scherer technologies llc catalent pharma solutions inc nbe therapeutics ag aurigene discovery technologies limited iconic therapeutics inc invenra inc stemsynergy therapeutics inc genentech inc bristolmyers squibb company daiichi sankyo company limited well clinical development agreement collaboration sairopa bv merck co inc company formerly known exelixis pharmaceuticals inc changed name exelixis inc february 2000 exelixis inc incorporated 1994 headquartered alameda california
EHC,encompass health corporation provides postacute healthcare services united states puerto rico owns operates inpatient rehabilitation hospitals provide medical nursing therapy ancillary services company provides specialized rehabilitative treatment inpatient basis patients experienced physical cognitive disabilities injuries due medical conditions strokes hip fractures various debilitating neurological conditions offers services medicare program federal government managed care plans private insurers state governments patients company formerly known healthsouth corporation changed name encompass health corporation january 2018 company incorporated 1984 based birmingham alabama
CRL,charles river laboratories international inc provides drug discovery nonclinical development safety testing services united states europe canada asia pacific internationally operates three segments research models services rms discovery safety assessment dsa manufacturing solutions manufacturing rms segment produces sells rodents purposebred rats mice use researchers segment also provides range services assist clients supporting use research models research screening preclinical drug candidates including research models genetically engineered models services insourcing solutions research animal diagnostic services dsa segment offers early vivo discovery services identification validation novel targets chemical compounds antibodies delivery preclinical drug therapeutic candidates ready safety assessment safety assessment services toxicology pathology safety pharmacology bioanalysis drug metabolism pharmacokinetics services manufacturing segment provides vitro methods conventional rapid quality control testing sterile nonsterile pharmaceuticals consumer products segment also offers specialized testing biologics outsourced pharmaceutical biotechnology companies also provides contract vivarium operation services biopharmaceutical clients company founded 1947 headquartered wilmington massachusetts
QGEN,qiagen nv offers sample insight solutions transform biological materials molecular insights company provides sample technology consumables nucleic stabilization purification kits sample materials manual automated processing genotyping gene expression viral bacterial analysis well silica membranes magnetic bead technologies secondary sample technology consumables kits components purification nucleic acids secondary sample materials instruments nucleic acid purification accessories also provides interferongamma release assay tb testing assays posttransplant testing viral load monitoring assays prenatal testing detection sexually transmitted diseases hpv assays analysis genomic variants mutations insertions deletions fusions sample insight instruments including onestep molecular analysis hardtodiagnose syndromes integrated pcr testing addition offers pcr consumables quantitative pcr reverse transcription combinations kits analysis gene expression genotyping gene regulation running qiagen instruments technologies human id forensics assay consumables str assays human id assays food contamination pcr instruments include digital pcr qpcr solutions developed configured enzymes pcr solutions also offers predefined custom ngs gene panels library prep kits components whole genome amplification qiagen consumables instruments well bioinformatics solutions custom laboratory genomic services serves molecular diagnostics academia pharmaceutical applied testing customers collaboration us fbi biomanguinhosfiocruz detect malaria dengue company founded 1984 headquartered venlo netherlands
GMED,globus medical inc medical device company develops commercializes healthcare solutions patients musculoskeletal disorders united states internationally company offers spine products traditional fusion implants comprising pedicle screw rod systems plating systems intervertebral spacers corpectomy devices treating degenerative congenital conditions deformity tumors trauma injuries treatment options motion preservation technologies consist dynamic stabilization total disc replacement interspinous distraction devices interventional solutions treat vertebral compression fractures regenerative biologic products comprising allografts synthetic alternatives also offers products treatment orthopedic trauma including fracture plates compression screws intramedullary nails external fixation systems hip knee joint solutions including modular hip stems acetabular cups well posterior stabilizing cruciate retaining knee arthroplasty implants addition company distributes human cell tissue cellular tissuebased products sells products direct distributor sales representatives well hip knee products independent sales agents globus medical inc incorporated 2003 headquartered audubon pennsylvania
